hanbetsu,A60,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A17,A20,A22,A25,A26,A27,A28,A29,A30,A31,A34,A42,A43,A44,A45,A46,A47,A48,A49,A50,A52,A56,A58,A61
2,824,47.99999991,47.99999991,435.9999991,95.99999981,97.99999981,95.99999981,773.9999985,64.5312645,62.08849342,3993.390269,7.695068359,5442.44506,62.59889075,10.5,10.18234936,19.73579364,22.22045658,16.99898797,4102.899106,2258.044415,0.583333333,39.56415295,70.77540899,700,6398.434814,11.11855926,543.8187465,7.914320413,26.05794496,15.66679867,6.435967907,56,0.1855,6.71417053
2,829.6906788,49.9999999,49.9999999,433.9999991,95.99999981,97.99999981,97.99999981,775.9999985,64.515861,62.06176463,3993.402822,7.695068359,5495.536684,62.00431961,10.5,10.02326753,19.74824281,22.17950273,17.00315841,4094.13413,2261.121992,0.583333333,39.27411936,70.84623822,704.5029739,6398.51356,11.13796076,555.7898331,7.908095567,26.07682733,15.66068287,6.297344412,56,0.1855,6.721052955
2,841.0720363,47.99999991,47.99999991,433.9999991,97.99999981,95.99999981,97.99999981,773.9999985,64.48861571,62.0419021,3994.034177,7.695068359,5436.583165,62.66790871,10.5,9.942252959,19.7233399,22.18615274,17.00382598,4096.38135,2266.086563,0.666666667,38.92686436,70.91193254,709.1717174,6398.496814,11.1726716,567.7289969,7.903838181,26.09602733,15.66205468,6.164913223,56,0.1855,6.734677312
2,852.4533938,47.99999991,47.99999991,433.9999991,97.99999981,97.99999981,95.99999981,773.9999985,64.45465211,61.98941265,3998.25708,7.682983398,5517.485384,61.75284701,10.5,9.828449472,19.81692548,22.20136859,17.00804864,4018.52101,2270.807712,0.666666667,38.44439783,70.99224956,714.4922026,6398.53486,11.22477349,581.3348297,7.902935633,26.11843251,15.67427502,6.020626705,56,0.1855,6.748118538
2,863.8347513,47.99999991,47.99999991,435.9999991,95.99999981,97.99999981,95.99999981,773.9999985,64.42083844,61.92157426,3998.279496,7.682983398,5347.029439,63.71103015,10.5,9.763306464,19.79262569,22.21596343,17.00982112,4008.666365,2273.602262,0.75,38.05046758,71.04557236,718.2545457,6398.523336,11.26931065,590.9560972,7.905263779,26.13467046,15.69092149,5.922605785,56,0.1855,6.76138149
2,875.2161088,47.99999991,47.99999991,435.9999991,97.99999981,95.99999981,97.99999981,775.9999985,64.38247836,61.8640105,3999.876696,7.670898438,5590.465788,60.94113384,10.5,9.62520806,19.79741767,22.23117924,17.00808768,4011.038658,2275.257938,0.75,37.30906821,71.14099415,724.3097645,6398.503678,11.35749874,611.2556444,7.915203199,26.16162733,15.73442345,5.725918496,56,0.1855,6.774470837
2,886.5974663,47.99999991,47.99999991,435.9999991,97.99999981,95.99999981,97.99999981,775.9999985,64.34465685,61.82836036,3998.716946,7.682983398,5513.753727,61.79189317,10.5,9.441987546,19.86550304,22.24608466,17.00858148,4008.339651,2274.071372,0.75,36.35713534,71.2674678,730.2513188,6398.462299,11.48604647,649.6212423,7.934058588,26.18928808,15.80167259,5.387754852,56,0.1855,6.787391065
2,892.288145,47.99999991,47.99999991,437.9999991,95.99999981,97.99999981,95.99999981,775.9999985,64.30533678,61.79124803,3998.123384,7.682983398,5617.80695,60.64463795,10.5,9.515235074,19.82728116,22.26098995,17.00052201,3992.939513,2273.20754,0.833333333,35.541433,71.36078934,734.0762465,6398.441551,11.57126328,674.3194322,7.952112264,26.1998625,15.85788071,5.190418417,56,0.1855,6.793789113
2,903.6695025,49.9999999,49.9999999,435.9999991,95.99999981,97.99999981,95.99999981,775.9999985,64.24390043,61.75364181,3999.314103,7.682983398,5470.709378,62.27872591,10.5,9.629734685,19.83053436,22.35030833,17.00011693,3991.215647,2271.876365,0.833333333,34.49029206,71.43952842,737.5034753,6398.609496,11.64761962,696.4496146,7.973055459,26.18284875,15.90893891,5.025489176,56,0.1855,6.806463699
2,915.05086,47.99999991,47.99999991,435.9999991,97.99999981,95.99999981,95.99999981,773.9999985,64.15283423,61.69169807,3999.3446,7.682983398,5662.008757,60.16926211,10.5,9.800080522,19.79379975,22.53537343,16.99871373,3991.474703,2271.208181,0.916666667,33.62342811,71.48972296,739.8930483,6398.710537,11.70071872,711.8794823,7.990751001,26.15317013,15.94453831,4.916562546,56,0.185,6.818979648
