x ind,t ind,y,t,x
9,83,6.801177972,328,0.8
10,83,8.528686464,328,0.9
11,83,10,328,1
1,84,-4.999997502,332,0
2,84,-4.988143323,332,0.1
3,84,-4.948356286,332,0.2
4,84,-4.833251479,332,0.3
5,84,-4.455557205,332,0.4
6,84,-3.240372658,332,0.5
7,84,0.98836104,332,0.6
8,84,4.288930229,332,0.7
9,84,6.683073169,332,0.8
10,84,8.477564591,332,0.9
11,84,10,332,1
1,85,-4.99999793,336,0
2,85,-4.989145542,336,0.1
3,85,-4.955398737,336,0.2
4,85,-4.844707196,336,0.3
5,85,-4.497965204,336,0.4
6,85,-3.313155398,336,0.5
7,85,0.803152442,336,0.6
8,85,4.108059345,336,0.7
9,85,6.563416992,336,0.8
10,85,8.423277757,336,0.9
11,85,10,336,1
1,86,-4.999998285,340,0
2,86,-4.99059741,340,0.1
3,86,-4.958765764,340,0.2
4,86,-4.859010357,340,0.3
5,86,-4.523087402,340,0.4
6,86,-3.385460681,340,0.5
7,86,0.641243181,340,0.6
8,86,3.938537859,340,0.7
9,86,6.444589843,340,0.8
10,86,8.366779487,340,0.9
11,86,10,340,1
1,87,-4.999998579,344,0
2,87,-4.991336578,344,0.1
3,87,-4.962870441,344,0.2
4,87,-4.867223409,344,0.3
5,87,-4.549464002,344,0.4
6,87,-3.440056271,344,0.5
7,87,0.495694788,344,0.6
8,87,3.780651031,344,0.7
9,87,6.328084283,344,0.8
10,87,8.309117761,344,0.9
11,87,10,344,1
1,88,-4.999998823,348,0
2,88,-4.992189987,348,0.1
3,88,-4.965256359,348,0.2
4,88,-4.875961978,348,0.3
5,88,-4.567770995,348,0.4
6,88,-3.491515662,348,0.5
7,88,0.365833331,348,0.6
8,88,3.633483586,348,0.7
9,88,6.215063254,348,0.8
10,88,8.251220154,348,0.9
11,88,10,348,1
1,89,-4.999999024,352,0
2,89,-4.992705667,352,0.1
3,89,-4.967753954,352,0.2
4,89,-4.881818145,352,0.3
5,89,-4.585475987,352,0.4
6,89,-3.533613245,352,0.5
7,89,0.24816316,352,0.6
8,89,3.496583101,352,0.7
9,89,6.106228037,352,0.8
10,89,8.193876115,352,0.9
11,89,10,352,1
1,90,-4.999999192,356,0
2,90,-4.993228006,356,0.1
3,90,-4.969426798,356,0.2
4,90,-4.887505337,356,0.3
5,90,-4.599110947,356,0.4
6,90,-3.572391816,356,0.5
7,90,0.141735687,356,0.6
8,90,3.369120111,356,0.7
9,90,6.002067292,356,0.8
10,90,8.137699973,356,0.9
11,90,10,356,1
1,91,-4.99999933,360,0
2,91,-4.993586054,360,0.1
3,91,-4.971032867,360,0.2
4,91,-4.891750484,360,0.3
5,91,-4.611768247,360,0.4
6,91,-3.605703775,360,0.5
7,91,0.044609583,360,0.6
8,91,3.250504406,360,0.7
9,91,5.902831736,360,0.8
10,91,8.083158395,360,0.9
11,91,10,360,1
1,92,-4.999999445,364,0
2,92,-4.993923169,364,0.1
3,92,-4.97222418,364,0.2
4,92,-4.895683597,364,0.3
5,92,-4.622201869,364,0.4
6,92,-3.636169877,364,0.5
7,92,-0.044070962,364,0.6
8,92,3.140043967,364,0.7
9,92,5.808647373,364,0.8
10,92,8.030581834,364,0.9
11,92,10,364,1
1,93,-4.99999954,368,0
2,93,-4.994176539,368,0.1
3,93,-4.973318291,368,0.2
4,93,-4.89884574,368,0.3
5,93,-4.631729589,368,0.4
6,93,-3.663142042,368,0.5
7,93,-2.118172467,368,0.6
8,93,3.037177325,368,0.7
9,93,5.719517776,368,0.8
10,93,7.980194011,368,0.9
11,93,10,368,1
1,94,-4.999999619,372,0
2,94,-4.994406631,372,0.1
3,94,-4.974190904,372,0.2
4,94,-4.901718201,372,0.3
5,94,-4.639936759,372,0.4
6,94,-4.085446149,372,0.5
7,94,-2.254807719,372,0.6
8,94,2.543705975,372,0.7
9,94,5.635377693,372,0.8
10,94,7.932130074,372,0.9
11,94,10,372,1
1,95,-4.999999684,376,0
2,95,-4.994591438,376,0.1
3,95,-4.974977928,376,0.2
4,95,-4.904146709,376,0.3
5,95,-4.726750121,376,0.4
6,95,-4.138399672,376,0.5
7,95,-2.678123002,376,0.6
8,95,2.20311785,376,0.7
9,95,5.476757218,376,0.8
10,95,7.886458215,376,0.9
11,95,10,376,1
1,96,-4.999999738,380,0
2,96,-4.994757065,380,0.1
3,96,-4.975638254,380,0.2
4,96,-4.922175464,380,0.3
5,96,-4.743156703,380,0.4
6,96,-4.290796231,380,0.5
7,96,-2.805572087,380,0.6
8,96,1.882332457,380,0.7
9,96,5.304364487,380,0.8
10,96,7.82736176,380,0.9
11,96,10,380,1
1,97,-4.999999783,384,0
2,97,-4.994896517,384,0.1
3,97,-4.979391182,384,0.2
4,97,-4.926779768,384,0.3
5,97,-4.787922696,384,0.4
6,97,-4.335639404,384,0.5
7,97,-2.990417575,384,0.6
8,97,1.629736639,384,0.7
9,97,5.124968523,384,0.8
10,97,7.757450117,384,0.9
11,97,10,384,1
1,98,-4.99999982,388,0
2,98,-4.995651859,388,0.1
3,98,-4.980588402,388,0.2
4,98,-4.938755869,388,0.3
5,98,-4.802410701,388,0.4
6,98,-4.408360822,388,0.5
7,98,-3.083180411,388,0.6
8,98,1.405266423,388,0.7
9,98,4.952812865,388,0.8
10,98,7.679642029,388,0.9
11,98,10,388,1
1,99,-4.999999851,392,0
2,99,-4.995925659,392,0.1
3,99,-4.983603169,392,0.2
4,99,-4.943102847,392,0.3
5,99,-4.826624075,392,0.4
6,99,-4.441156731,392,0.5
7,99,-3.187107559,392,0.6
8,99,1.217516471,392,0.7
9,99,4.789044595,392,0.8
10,99,7.598533606,392,0.9
11,99,10,392,1
1,100,-4.999999877,396,0
2,100,-4.996539899,396,0.1
3,100,-4.984816297,396,0.2
4,100,-4.950409155,396,0.3
5,100,-4.837565094,396,0.4
6,100,-4.481672687,396,0.5
7,100,-3.254107671,396,0.6
8,100,1.051278133,396,0.7
9,100,4.636985133,396,0.8
10,100,7.517115607,396,0.9
11,100,10,396,1
1,101,-4.999999898,400,0
2,101,-4.99681035,400,0.1
3,101,-4.986793543,400,0.2
4,101,-4.953844744,400,0.3
5,101,-4.851665969,400,0.4
6,101,-4.505165415,400,0.5
7,101,-3.320933441,400,0.6
8,101,0.907671368,400,0.7
9,101,4.496192377,400,0.8
10,101,7.437847989,400,0.9
11,101,10,400,1
1,102,-4.999999915,404,0
2,102,-4.997217398,404,0.1
3,102,-4.98777438,404,0.2
4,102,-4.958308508,404,0.3
5,102,-4.859596249,404,0.4
6,102,-4.530220801,404,0.5
7,102,-3.370394816,404,0.6
8,102,0.779947218,404,0.7
9,102,4.367115008,404,0.8
10,102,7.362120756,404,0.9
11,102,10,404,1
1,103,-4.99999993,408,0
2,103,-4.997431924,408,0.1
3,103,-4.989017409,408,0.2
4,103,-4.960836868,408,0.3
5,103,-4.868328978,408,0.4
6,103,-4.547229005,408,0.5
7,103,-3.41706388,408,0.6
8,103,0.66756982,408,0.7
9,103,4.248953302,408,0.8
10,103,7.290858713,408,0.9
11,103,10,408,1
1,104,-4.999999942,412,0
2,104,-4.997689878,412,0.1
3,104,-4.989741132,412,0.2
4,104,-4.963633759,412,0.3
5,104,-4.874033152,412,0.4
6,104,-4.563913749,412,0.5
7,104,-3.45447181,412,0.6
8,104,0.567149834,412,0.7
9,104,4.141304306,412,0.8
10,104,7.224458009,412,0.9
11,104,10,412,1
1,105,-4.999999952,416,0
2,105,-4.997846211,416,0.1
3,105,-4.990527218,416,0.2
4,105,-4.965447016,416,0.3
5,105,-4.879735498,416,0.4
6,105,-4.57645117,416,0.5
7,105,-3.488822142,416,0.6
8,105,0.477860956,416,0.7
9,105,4.04332861,416,0.8
10,105,7.163076289,416,0.9
11,105,10,416,1
1,106,-4.99999996,420,0
2,106,-4.998010294,420,0.1
3,106,-4.991043254,420,0.2
4,106,-4.967261533,420,0.3
5,106,-4.88386825,420,0.4
6,106,-4.588185602,420,0.5
7,106,-3.517681901,420,0.6
8,106,0.39780128,420,0.7
9,106,3.954388373,420,0.8
10,106,7.106640786,420,0.9
11,106,10,420,1
1,107,-4.999999967,424,0
2,107,-4.998120848,424,0.1
3,107,-4.99155292,424,0.2
4,107,-4.968559212,424,0.3
5,107,-4.887769251,424,0.4
6,107,-4.597603433,424,0.5
7,107,-3.543840849,424,0.6
8,107,0.326186129,424,0.7
9,107,3.873706276,424,0.8
10,107,7.054980498,424,0.9
11,107,10,424,1
1,108,-4.999999973,428,0
2,108,-4.998227657,428,0.1
3,108,-4.991918784,428,0.2
4,108,-4.969781978,428,0.3
5,108,-4.890807448,428,0.4
6,108,-4.606200568,428,0.5
7,108,-3.566442672,428,0.6
8,108,0.261832194,428,0.7
9,108,3.800624517,428,0.8
10,108,7.007837556,428,0.9
11,108,10,428,1
1,109,-4.999999977,432,0
2,109,-4.998305599,432,0.1
3,109,-4.992260236,432,0.2
4,109,-4.970720651,432,0.3
5,109,-4.893585538,432,0.4
6,109,-4.61339921,432,0.5
7,109,-3.586812294,432,0.6
8,109,0.204068021,432,0.7
9,109,3.73446024,432,0.8
10,109,6.964925746,432,0.9
11,109,10,432,1
1,110,-4.999999981,436,0
2,110,-4.998377335,436,0.1
3,110,-4.992522096,436,0.2
4,110,-4.971575891,436,0.3
5,110,-4.895858271,436,0.4
6,110,-4.619891668,436,0.5
7,110,-3.60470905,436,0.6
8,110,0.152089482,436,0.7
9,110,3.674612006,436,0.8
10,110,6.925936817,436,0.9
11,110,10,436,1
1,111,-4.999999984,440,0
2,111,-4.998432903,440,0.1
3,111,-4.992758954,440,0.2
4,111,-4.972266404,440,0.3
5,111,-4.897903826,440,0.4
6,111,-4.625476895,440,0.5
7,111,-3.620804484,440,0.6
8,111,0.105341378,440,0.7
9,111,3.62049644,440,0.8
10,111,6.890565525,440,0.9
11,111,10,440,1
1,112,-4.999999987,444,0
2,112,-4.998482734,444,0.1
3,112,-4.992949591,444,0.2
4,112,-4.97288512,444,0.3
5,112,-4.899633608,444,0.4
6,112,-4.630489434,444,0.5
7,112,-3.635088739,444,0.6
8,112,0.063239671,444,0.7
9,112,3.571591284,444,0.8
10,112,6.858512036,444,0.9
11,112,10,444,1
1,113,-4.999999989,448,0
2,113,-4.998523077,448,0.1
3,113,-4.99311944,448,0.2
4,113,-4.973402648,448,0.3
5,113,-4.90118038,448,0.4
6,113,-4.634875941,448,0.5
7,113,-3.647930245,448,0.6
8,113,0.025331158,448,0.7
9,113,3.527406337,448,0.8
10,113,6.829491962,448,0.9
11,113,10,448,1
1,114,-4.999999991,452,0
2,114,-4.998558834,452,0.1
3,114,-4.993260981,452,0.2
4,114,-4.973863305,452,0.3
5,114,-4.902517456,452,0.4
6,114,-4.638807611,452,0.5
7,114,-3.659396209,452,0.6
8,114,-0.00882783,452,0.7
9,114,3.48749985,452,0.8
10,114,6.803236594,452,0.9
11,114,10,452,1
1,115,-4.999999993,456,0
2,115,-4.998588729,456,0.1
3,115,-4.993386408,456,0.2
4,115,-4.97425814,456,0.3
5,115,-4.903711194,456,0.4
6,115,-4.64228563,456,0.5
7,115,-3.669707393,456,0.6
8,115,-2.064732193,456,0.7
9,115,3.451464219,456,0.8
10,115,6.779496314,456,0.9
11,115,10,456,1
1,116,-4.999999994,460,0
2,116,-4.998615139,460,0.1
3,116,-4.993493536,460,0.2
4,116,-4.97460918,460,0.3
5,116,-4.904758144,460,0.4
6,116,-4.645404158,460,0.5
7,116,-4.083047926,460,0.6
8,116,-2.174624466,460,0.7
9,116,3.014831659,460,0.8
10,116,6.758039788,460,0.9
11,116,10,460,1
1,117,-4.999999995,464,0
2,117,-4.998637736,464,0.1
3,117,-4.99358845,464,0.2
4,117,-4.974915104,464,0.3
5,117,-4.905693547,464,0.4
6,117,-4.728816995,464,0.5
7,117,-4.126412929,464,0.6
8,117,-2.578602117,464,0.7
9,117,2.726243202,464,0.8
10,117,6.658019347,464,0.9
11,117,10,464,1
1,118,-4.999999996,468,0
2,118,-4.998657719,468,0.1
3,118,-4.993670921,468,0.2
4,118,-4.975187475,468,0.3
5,118,-4.922611926,468,0.4
6,118,-4.742027023,468,0.5
7,118,-4.271943119,468,0.6
8,118,-2.687549709,468,0.7
9,118,2.452257056,468,0.8
10,118,6.540329869,468,0.9
11,118,10,468,1
