x ind,t ind,y,t,x
9,18,9.991157736,68,0.8
10,18,9.998248941,68,0.9
11,18,10,68,1
1,19,-4.491804847,72,0
2,19,0.657610689,72,0.1
3,19,4.64325799,72,0.2
4,19,7.277826118,72,0.3
5,19,8.77833182,72,0.4
6,19,9.517750455,72,0.5
7,19,9.833346497,72,0.6
8,19,9.949871815,72,0.7
9,19,9.98697822,72,0.8
10,19,9.997183353,72,0.9
11,19,10,72,1
1,20,-4.578923997,76,0
2,20,0.42538905,76,0.1
3,20,4.373659791,76,0.2
4,20,7.051532062,76,0.3
5,20,8.626462332,76,0.4
6,20,9.433179684,76,0.5
7,20,9.793623356,76,0.6
8,20,9.934024338,76,0.7
9,20,9.981610264,76,0.8
10,20,9.995709033,76,0.9
11,20,10,76,1
1,21,-4.651108437,80,0
2,21,0.214663351,80,0.1
3,21,4.120160851,80,0.2
4,21,6.831447864,80,0.3
5,21,8.473170931,80,0.4
6,21,9.344128959,80,0.5
7,21,9.749715409,80,0.6
8,21,9.915503757,80,0.7
9,21,9.974928141,80,0.8
10,21,9.993751956,80,0.9
11,21,10,80,1
1,22,-4.710918401,84,0
2,22,0.023047476,84,0.1
3,22,3.881864678,84,0.2
4,22,6.618024018,84,0.3
5,22,8.319370273,84,0.4
6,22,9.251267384,84,0.5
7,22,9.70186541,84,0.6
8,22,9.894279587,84,0.7
9,22,9.966826587,84,0.8
10,22,9.991242551,84,0.9
11,22,10,84,1
1,23,-4.760475229,88,0
2,23,-0.151582191,88,0.1
3,23,3.657846321,88,0.2
4,23,6.411534459,88,0.3
5,23,8.165832193,88,0.4
6,23,9.15522759,88,0.5
7,23,9.650346667,88,0.6
8,23,9.870360948,88,0.7
9,23,9.957222383,88,0.8
10,23,9.988118006,88,0.9
11,23,10,88,1
1,24,-4.801536602,92,0
2,24,-2.867860119,92,0.1
3,24,3.44718087,92,0.2
4,24,6.212113242,92,0.3
5,24,8.013201395,92,0.4
6,24,9.056598281,92,0.5
7,24,9.59545147,92,0.6
8,24,9.843791249,92,0.7
9,24,9.946054805,92,0.8
10,24,9.984323972,92,0.9
11,24,10,92,1
1,25,-4.835558892,96,0
2,25,-3.066283344,96,0.1
3,25,2.738782053,96,0.2
4,25,6.019785013,96,0.3
5,25,7.862009515,96,0.4
6,25,8.95592019,96,0.5
7,25,9.537481594,96,0.6
8,25,9.814642782,96,0.7
9,25,9.933285182,96,0.8
10,25,9.979815673,96,0.9
11,25,10,96,1
1,26,-4.86374879,100,0
2,26,-3.242463279,100,0.1
3,26,2.235123423,100,0.2
4,26,5.732687049,100,0.3
5,26,7.712688836,100,0.4
6,26,8.853684553,100,0.5
7,26,9.476740705,100,0.6
8,26,9.78301149,100,0.7
9,26,9.918895765,100,0.8
10,26,9.974558484,100,0.9
11,26,10,100,1
1,27,-4.887106134,104,0
2,27,-3.372362478,104,0.1
3,27,1.840023961,104,0.2
4,27,5.429868423,104,0.3
5,27,7.545271167,104,0.4
6,27,8.750333412,104,0.5
7,27,9.413528448,104,0.6
8,27,9.749012079,104,0.7
9,27,9.902888127,104,0.8
10,27,9.968528059,104,0.9
11,27,10,104,1
1,28,-4.906459363,108,0
2,28,-3.474817496,108,0.1
3,28,1.516257299,108,0.2
4,28,5.13565411,108,0.3
5,28,7.363619223,108,0.4
6,28,8.642207681,108,0.5
7,28,9.348135978,108,0.6
8,28,9.712773583,108,0.7
9,28,9.88528124,108,0.8
10,28,9.96171008,108,0.9
11,28,10,108,1
1,29,-4.922494895,112,0
2,29,-3.558751179,112,0.1
3,29,1.242548755,112,0.2
4,29,4.858003854,112,0.3
5,29,7.174177893,112,0.4
6,29,8.527937436,112,0.5
7,29,9.280033858,112,0.6
8,29,9.674435424,112,0.7
9,29,9.866109399,112,0.8
10,29,9.954099731,112,0.9
11,29,10,112,1
1,30,-4.93578148,116,0
2,30,-3.629338475,116,0.1
3,30,1.005921889,116,0.2
4,30,4.598741599,116,0.3
5,30,6.982134955,116,0.4
6,30,8.407879858,116,0.5
7,30,9.208658405,116,0.6
8,30,9.633982581,116,0.7
9,30,9.845420068,116,0.8
10,30,9.94570096,116,0.9
11,30,10,116,1
1,31,-4.946790364,120,0
2,31,-3.689836673,120,0.1
3,31,0.797910302,120,0.2
4,31,4.357409209,120,0.3
5,31,6.791043046,120,0.4
6,31,8.283172286,120,0.5
7,31,9.133739167,120,0.6
8,31,9.59130302,120,0.7
9,31,9.823239564,120,0.8
10,31,9.93652561,120,0.9
11,31,10,120,1
1,32,-4.955912011,124,0
2,32,-3.742441032,124,0.1
3,32,0.61268503,124,0.2
4,32,4.132750876,124,0.3
5,32,6.603172529,124,0.4
6,32,8.1551531,124,0.5
7,32,9.05531822,124,0.6
8,32,9.546280702,124,0.7
9,32,9.799563704,124,0.8
10,32,9.92658605,124,0.9
11,32,10,124,1
1,33,-4.963469948,128,0
2,33,-3.788710559,128,0.1
3,33,0.446054729,128,0.2
4,33,3.923301875,128,0.3
5,33,6.419904171,128,0.4
6,33,8.025087982,128,0.5
7,33,8.973664756,128,0.6
8,33,9.49885346,128,0.7
9,33,9.774369292,128,0.8
10,33,9.915888877,128,0.9
11,33,10,128,1
1,34,-4.969732238,132,0
2,34,-3.829797619,132,0.1
3,34,0.294897394,132,0.2
4,34,3.7276212,132,0.3
5,34,6.24202798,132,0.4
6,34,7.894066738,132,0.5
7,34,8.889180691,132,0.6
8,34,9.449033022,132,0.7
9,34,9.747631298,132,0.8
10,34,9.904433429,132,0.9
11,34,10,132,1
1,35,-4.974920993,136,0
2,35,-3.86658059,136,0.1
3,35,0.156819482,136,0.2
4,35,3.544377597,136,0.3
5,35,6.069948601,136,0.4
6,35,7.762982085,136,0.5
7,35,8.802327343,136,0.6
8,35,9.396901641,136,0.7
9,35,9.71933689,136,0.8
10,35,9.89221431,136,0.9
11,35,10,136,1
1,36,-4.979220248,140,0
2,36,-3.899745177,140,0.1
3,36,0.029941761,140,0.2
4,36,3.372374226,140,0.3
5,36,5.903821685,140,0.4
6,36,7.632543269,140,0.5
7,36,8.713576475,140,0.6
8,36,9.342598238,140,0.7
9,36,9.689493694,140,0.8
10,36,9.87922572,140,0.9
11,36,10,140,1
1,37,-4.982782487,144,0
2,37,-3.929836842,144,0.1
3,37,-0.087240674,144,0.2
4,37,3.210547961,144,0.3
5,37,5.743643471,144,0.4
6,37,7.50330168,144,0.5
7,37,8.62338082,144,0.6
8,37,9.286301949,144,0.7
9,37,9.658132854,144,0.8
10,37,9.865465695,144,0.9
11,37,10,144,1
1,38,-4.985734057,148,0
2,38,-3.957296082,148,0.1
3,38,-2.327605903,148,0.2
4,38,3.05795891,148,0.3
5,38,5.589309582,148,0.4
6,38,7.375678245,148,0.5
7,38,8.532158204,148,0.6
8,38,9.228216974,148,0.7
9,38,9.62530844,148,0.8
10,38,9.850939267,148,0.9
11,38,10,148,1
1,39,-4.988179643,152,0
2,39,-4.40783912,152,0.1
3,39,-2.482206933,152,0.2
4,39,2.488420865,152,0.3
5,39,5.440653743,152,0.4
6,39,7.249988453,152,0.5
7,39,8.440284445,152,0.6
8,39,9.168560184,152,0.7
9,39,9.591094694,152,0.8
10,39,9.835660252,152,0.9
11,39,10,152,1
1,40,-4.990205988,156,0
2,40,-4.461335538,156,0.1
3,40,-2.94283051,156,0.2
4,40,2.085664576,156,0.3
5,40,5.212596577,156,0.4
6,40,7.126463699,156,0.5
7,40,8.348091603,156,0.6
8,40,9.107551706,156,0.7
9,40,9.555582261,156,0.8
10,40,9.819651764,156,0.9
11,40,10,156,1
1,41,-4.99188496,160,0
2,41,-4.557248131,160,0.1
3,41,-3.084816883,160,0.2
4,41,1.706221245,160,0.3
5,41,4.970538145,160,0.4
6,41,6.988332308,160,0.5
7,41,8.25586932,160,0.6
8,41,9.045408164,160,0.7
9,41,9.518874147,160,0.8
