,after,after_and_js_jannies,age,artistname,available,collected_at,date,is_free_market,is_jannies,left_days,name,price_per_deal,price_per_unit,unit
37,1,1,25.0,氷川きよし,1,,,1,1,39,氷川きよしコンサートツアー2019 20周年大感謝祭！！,16800,16800.0,1
38,1,1,25.0,氷川きよし,1,,,1,1,39,氷川きよしコンサートツアー2019 20周年大感謝祭！！,35000,17500.0,2
39,1,1,25.0,氷川きよし,1,,,1,1,46,氷川きよしコンサートツアー2019 20周年大感謝祭！！,10000,5000.0,2
40,1,1,25.0,氷川きよし,1,,,1,1,46,氷川きよしコンサートツアー2019 20周年大感謝祭！！,6800,6800.0,1
41,1,1,25.0,氷川きよし,1,,,1,1,46,氷川きよしコンサートツアー2019 20周年大感謝祭！！,11000,5500.0,2
42,1,1,25.0,氷川きよし,1,,,1,1,46,氷川きよしコンサートツアー2019 20周年大感謝祭！！,12000,12000.0,1
43,1,1,25.0,氷川きよし,1,,,1,1,48,氷川きよしコンサートツアー2019 20周年大感謝祭！！,10500,5250.0,2
44,1,1,25.0,氷川きよし,1,,,1,1,48,氷川きよしコンサートツアー2019 20周年大感謝祭！！,11000,5500.0,2
45,1,1,25.0,氷川きよし,1,,,1,1,48,氷川きよしコンサートツアー2019 20周年大感謝祭！！,13000,6500.0,2
46,1,1,25.0,氷川きよし,1,,,1,1,55,氷川きよしコンサートツアー2019 20周年大感謝祭！！,30000,15000.0,2
47,1,1,25.0,氷川きよし,1,,,1,1,60,氷川きよしコンサートツアー2019 20周年大感謝祭！！,10500,10500.0,1
48,1,1,25.0,氷川きよし,1,,,1,1,60,氷川きよしコンサートツアー2019 20周年大感謝祭！！,8000,4000.0,2
49,1,1,25.0,氷川きよし,1,,,1,1,60,氷川きよしコンサートツアー2019 20周年大感謝祭！！,20000,20000.0,1
50,1,1,25.0,氷川きよし,1,,,1,1,60,氷川きよしコンサートツアー2019 20周年大感謝祭！！,25000,25000.0,1
51,1,1,25.0,氷川きよし,0,,,1,1,0,もっと四国音楽祭2019,2000,2000.0,1
52,1,1,25.0,氷川きよし,0,,,1,1,0,もっと四国音楽祭2019,2000,2000.0,1
53,1,1,25.0,氷川きよし,0,,,1,1,0,もっと四国音楽祭2019,2000,2000.0,1
54,1,1,25.0,氷川きよし,0,,,1,1,0,もっと四国音楽祭2019,2000,2000.0,1
55,1,1,25.0,氷川きよし,0,,,1,1,0,もっと四国音楽祭2019,2300,2300.0,1
56,1,1,25.0,氷川きよし,0,,,1,1,0,もっと四国音楽祭2019,2300,2300.0,1
57,1,1,25.0,氷川きよし,0,,,1,1,0,もっと四国音楽祭2019,3000,3000.0,1
