name,date,collected_at,left_days,is_jannies,available,price_per_deal,unit,price_per_unit,after,after_and_js_jannies,artistname
【即決】 7/20 NHK あにげっちゅ徳井青空の今日からオタ活入場整理券男性名2名,2019-07-20,2019-07-12,8,0,1,1000,1,1000.0,1,0,演歌
森昌子 還暦コンサートチケット 8/22茅ケ崎市民文化会館,2019-08-22,2019-07-12,41,0,1,8000,1,8000.0,1,0,演歌
即決五木ひろしコンサート7月13日神戸国際会館17時,2019-07-13,2019-07-12,1,0,1,2000,1,2000.0,1,0,演歌
氷川きよし★良席★コンサートチケット!2枚!送料無料ー,2019-07-14,2019-07-12,2,0,1,15000,2,7500.0,1,0,演歌
福田こうへいコンサートチケット7/15宮城県名取市,2019-07-15,2019-07-12,3,0,1,5000,1,5000.0,1,0,演歌
雨谷麻世 チャリティコンサート 7/26,2019-07-26,2019-07-12,14,0,1,8000,1,8000.0,1,0,演歌
♪舟木一夫 コンサート 2019フェスティバルホール7月22日月14時~または夜18時~♪新品,2019-07-22,2019-07-12,10,0,1,300,1,300.0,1,0,演歌
中澤卓也コンサート故郷から全国へ・追加公演・感謝を込めて特別バージョン宣伝用チラシ50枚セット,2019-07-18,2019-07-12,6,0,1,3000,50,60.0,1,0,演歌
