name,date,collected_at,left_days,is_jannies,available,price_per_deal,unit,price_per_unit,after,after_and_js_jannies
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,1,66000,1,66000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,0,66000,1,66000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,0,86000,1,86000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,0,90000,1,90000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,0,140000,1,140000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,0,140000,1,140000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,1,180000,1,180000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,0,220000,1,220000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,0,300000,1,300000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,1,59000,2,29500.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,1,75000,1,75000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,0,85000,1,85000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,1,98000,1,98000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,1,100000,1,100000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,1,100000,1,100000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,1,110000,1,110000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,1,125000,1,125000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,1,135000,2,67500.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,1,140000,1,140000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,0,140000,1,140000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,0,150000,1,150000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,1,160000,1,160000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,1,170000,1,170000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,0,184000,1,184000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,1,230000,1,230000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,1,245000,1,245000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-22,2019-05-22,0,1,0,258000,1,258000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-24,2019-05-22,2,1,0,78000,1,78000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-24,2019-05-22,2,1,1,79000,1,79000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-24,2019-05-22,2,1,0,80000,2,40000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-24,2019-05-22,2,1,1,86000,1,86000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-24,2019-05-22,2,1,1,95000,1,95000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-24,2019-05-22,2,1,1,150000,1,150000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-24,2019-05-22,2,1,1,185000,1,185000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-24,2019-05-22,2,1,1,200000,1,200000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-24,2019-05-22,2,1,1,215000,1,215000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-24,2019-05-22,2,1,1,220000,2,110000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-24,2019-05-22,2,1,1,230000,2,115000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-24,2019-05-22,2,1,1,230000,1,230000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-24,2019-05-22,2,1,1,280000,1,280000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-25,2019-05-22,3,1,1,55000,1,55000.0,0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-25,2019-05-22,3,1,1,63000,1,63000.0,0,0
