name,date,collected_at,left_days,is_jannies,available,price_per_deal,unit,price_per_unit,after,after_and_js_jannies
雪、月、花。~新演歌三姉妹~コンサート2019。市川由紀乃/ 丘みどり/杜このみ 2019。8/7 (水)日本特殊陶業市民会館。13;00開演,2019-08-07,2019-07-22,16,0,1,1000,1,1000.0,1,0
**2019.7.27(土)【昼】足利市民会館1階席ペア氷川きよしコンサートツアー201920周年大感謝祭1円~**,2019-07-23,2019-07-22,1,0,1,7750,1,7750.0,1,0
島津亜矢 スペシャルコンサート アクトシティ浜松大ホール27日16時開場 1階席,2019-07-22,2019-07-22,0,0,1,4800,1,4800.0,1,0
☆ ★ 三山ひろし コンサート 福井(春江)7/31 昼公演 最前列 良席 2枚連番 ★ ☆,2019-07-31,2019-07-22,9,0,1,12000,2,6000.0,1,0
舟木一夫コンサート2019 特別割引ご優待券 非売品 練馬文化センター 7月25日(木)演歌/橋幸夫 西郷輝彦 御三家/高校三年生/学園ソング,2019-07-25,2019-07-22,3,0,1,80,1,80.0,1,0
氷川きよしコンサートツアー2019大分iichikoグランシアタ8月5日(月)昼の部2枚,2019-08-05,2019-07-22,14,0,1,15000,2,7500.0,1,0
大阪新歌舞伎座★市川由紀乃特別公演島倉千代子七回忌追善人生いろいろオンステージ特別割引,2019-07-24,2019-07-22,2,0,1,300,1,300.0,1,0
