name,date,collected_at,left_days,is_jannies,available,price_per_deal,unit,price_per_unit,after,after_and_js_jannies
9月4日(水)【中村美律子・増井山太志郎・松居直美コンサート】午後の部【お土産つき】,2019-09-04,2019-08-07,28,0,1,2200,1,2200.0,1,0
送料込中澤卓也さんの名古屋国際ホテル(8月18日(日曜))でのディナーショーチケット1名分定価20000円+振込料,2019-08-18,2019-08-07,11,0,1,15000,1,15000.0,1,0
夢コンサート 歌謡曲 コンサート ペアチケット 送料無料 格安,2019-08-13,2019-08-07,6,0,1,7000,1,7000.0,1,0
山内惠介♪うちわ/両面2色】応援グッズ★キラキラ光ります★山内恵介*惠ちゃん(検)ペンライトではないです,2019-08-08,2019-08-07,1,0,1,1800,1,1800.0,1,0
雪、月、花新演歌三姉妹市川由紀乃、丘みどり、杜このみ函館市芸術ホール2枚連番,2019-08-07,2019-08-07,0,0,1,13500,2,6750.0,1,0
大阪新歌舞伎座★市川由紀乃特別公演島倉千代子七回忌追善人生いろいろオンステージ特別割引,2019-08-07,2019-08-07,0,0,1,300,1,300.0,1,0
