name,date,collected_at,left_days,is_jannies,available,price_per_deal,unit,price_per_unit,after,after_and_js_jannies,artistname,age
舞台 マラソン,2019-06-15,2019-06-14,1,1,1,60000,1,60000.0,1,1,ジャニーズJr,22.3
舞台 マラソン,2019-06-15,2019-06-14,1,1,1,12000,1,12000.0,1,1,ジャニーズJr,22.3
舞台 マラソン,2019-06-15,2019-06-14,1,1,1,13000,1,13000.0,1,1,ジャニーズJr,22.3
舞台 マラソン,2019-06-15,2019-06-14,1,1,1,14000,1,14000.0,1,1,ジャニーズJr,22.3
舞台 マラソン,2019-06-15,2019-06-14,1,1,1,20000,1,20000.0,1,1,ジャニーズJr,22.3
舞台 マラソン,2019-06-16,2019-06-14,2,1,1,15000,1,15000.0,1,1,ジャニーズJr,22.3
舞台 マラソン,2019-06-16,2019-06-14,2,1,0,16000,1,16000.0,1,1,ジャニーズJr,22.3
舞台 マラソン,2019-06-16,2019-06-14,2,1,1,16000,1,16000.0,1,1,ジャニーズJr,22.3
舞台 マラソン,2019-06-17,2019-06-14,3,1,1,15000,1,15000.0,1,1,ジャニーズJr,22.3
舞台 マラソン,2019-06-17,2019-06-14,3,1,1,18000,1,18000.0,1,1,ジャニーズJr,22.3
舞台 マラソン,2019-06-17,2019-06-14,3,1,1,18000,1,18000.0,1,1,ジャニーズJr,22.3
舞台 マラソン,2019-06-17,2019-06-14,3,1,1,20000,1,20000.0,1,1,ジャニーズJr,22.3
舞台 マラソン,2019-06-17,2019-06-14,3,1,1,21000,1,21000.0,1,1,ジャニーズJr,22.3
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-06-14,34,1,0,16500,2,8250.0,1,1,ジャニーズJr,22.3
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-06-14,34,1,1,19000,2,9500.0,1,1,ジャニーズJr,22.3
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-06-14,34,1,1,20000,1,20000.0,1,1,ジャニーズJr,22.3
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-06-14,34,1,1,20000,2,10000.0,1,1,ジャニーズJr,22.3
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-06-14,34,1,1,20000,2,10000.0,1,1,ジャニーズJr,22.3
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-06-14,34,1,0,21000,2,10500.0,1,1,ジャニーズJr,22.3
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-06-14,34,1,1,21500,2,10750.0,1,1,ジャニーズJr,22.3
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-06-14,34,1,1,21999,2,10999.5,1,1,ジャニーズJr,22.3
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-06-14,34,1,1,22000,1,22000.0,1,1,ジャニーズJr,22.3
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-06-14,34,1,1,25000,1,25000.0,1,1,ジャニーズJr,22.3
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-06-14,34,1,1,25000,2,12500.0,1,1,ジャニーズJr,22.3
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-06-14,34,1,1,29999,2,14999.5,1,1,ジャニーズJr,22.3
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-06-14,34,1,1,31000,2,15500.0,1,1,ジャニーズJr,22.3
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-06-14,34,1,1,50000,1,50000.0,1,1,ジャニーズJr,22.3
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-06-14,34,1,1,60000,4,15000.0,1,1,ジャニーズJr,22.3
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-06-14,34,1,1,80000,4,20000.0,1,1,ジャニーズJr,22.3
舞台 GOOD PEOPLE,2019-07-18,2019-06-14,34,1,1,8500,1,8500.0,1,1,ジャニーズJr,22.3
舞台 GOOD PEOPLE,2019-07-18,2019-06-14,34,1,1,20000,1,20000.0,1,1,ジャニーズJr,22.3
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-19,2019-06-14,35,1,1,17000,2,8500.0,1,1,ジャニーズJr,22.3
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-19,2019-06-14,35,1,1,17000,2,8500.0,1,1,ジャニーズJr,22.3
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-19,2019-06-14,35,1,0,17999,2,8999.5,1,1,ジャニーズJr,22.3
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-19,2019-06-14,35,1,1,18000,2,9000.0,1,1,ジャニーズJr,22.3
