name,date,collected_at,left_days,is_jannies,available,price_per_deal,unit,price_per_unit,after,after_and_js_jannies,artistname
雪、月、花。~新演歌三姉妹~コンサート。市川由紀乃/ 丘みどり/杜このみ 2019。8/7 (水)日本特殊陶業市民会館。,2019-08-07,2019-07-17,21,0,1,5500,1,5500.0,1,0,演歌
氷川きよしコンサートツアー2019広島上野学園ホール8/10(土)17:001枚,2019-08-10,2019-07-17,24,0,1,7400,1,7400.0,1,0,演歌
千昌夫ディナーショーペア7月24日19時ディナー20時ショー,2019-07-24,2019-07-17,7,0,1,36000,1,36000.0,1,0,演歌
山内惠介2019年7月 18日 広島文化学園HBGホール,2019-07-17,2019-07-17,0,0,1,6000,1,6000.0,1,0,演歌
氷川きよしコンサートツアー2019大分iichikoグランシアタ8月5日(月)昼の部2枚,2019-08-05,2019-07-17,19,0,1,15000,2,7500.0,1,0,演歌
♪舟木一夫 コンサート 2019フェスティバルホール7月22日月14時~または夜18時~♪新品,2019-07-22,2019-07-17,5,0,1,300,1,300.0,1,0,演歌
中澤卓也コンサート故郷から全国へ・追加公演・感謝を込めて特別バージョン宣伝用チラシ50枚セット,2019-07-18,2019-07-17,1,0,1,3000,50,60.0,1,0,演歌
