name,date,collected_at,left_days,is_jannies,available,price_per_deal,unit,price_per_unit,after,after_and_js_jannies,artistname
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,0,19000,2,9500.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,21000,1,21000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,23000,1,23000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,23000,1,23000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,23000,2,11500.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,24000,1,24000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,24500,1,24500.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,25000,2,12500.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,25000,1,25000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,25000,2,12500.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,27000,1,27000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,0,27000,1,27000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,27000,2,13500.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,30000,2,15000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,32000,1,32000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,0,33000,1,33000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,0,33000,2,16500.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,35000,1,35000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,0,35000,2,17500.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,36000,1,36000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,40000,1,40000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,40000,1,40000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,48000,1,48000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,49500,1,49500.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,50000,1,50000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,50000,2,25000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,55000,2,27500.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,55000,2,27500.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,60000,1,60000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,68000,2,34000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,70000,2,35000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,0,70000,2,35000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,70000,1,70000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,70000,1,70000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,75000,1,75000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,80000,2,40000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,95000,2,47500.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,100000,2,50000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-30,2019-08-07,23,1,1,150000,2,75000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-31,2019-08-07,24,1,1,24000,2,12000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-31,2019-08-07,24,1,1,25000,2,12500.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-31,2019-08-07,24,1,1,28000,1,28000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-31,2019-08-07,24,1,1,29000,2,14500.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-31,2019-08-07,24,1,0,30000,1,30000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-31,2019-08-07,24,1,1,32000,1,32000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-31,2019-08-07,24,1,1,33000,1,33000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-31,2019-08-07,24,1,0,34000,2,17000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-31,2019-08-07,24,1,1,34000,2,17000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-31,2019-08-07,24,1,1,40000,1,40000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-31,2019-08-07,24,1,0,40000,1,40000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-31,2019-08-07,24,1,1,40000,1,40000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-31,2019-08-07,24,1,1,50000,2,25000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-31,2019-08-07,24,1,1,59999,1,59999.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-31,2019-08-07,24,1,1,60000,2,30000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-31,2019-08-07,24,1,1,95000,1,95000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-31,2019-08-07,24,1,1,100000,2,50000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-31,2019-08-07,24,1,1,140000,1,140000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-08-31,2019-08-07,24,1,1,180000,1,180000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-09-02,2019-08-07,26,1,1,20000,1,20000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-09-02,2019-08-07,26,1,0,20000,2,10000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-09-02,2019-08-07,26,1,1,22000,2,11000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-09-02,2019-08-07,26,1,0,28000,1,28000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-09-02,2019-08-07,26,1,1,29000,1,29000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-09-02,2019-08-07,26,1,1,32000,1,32000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-09-02,2019-08-07,26,1,1,38000,2,19000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-09-02,2019-08-07,26,1,1,40000,1,40000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-09-02,2019-08-07,26,1,1,40000,1,40000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-09-02,2019-08-07,26,1,1,50000,1,50000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-09-02,2019-08-07,26,1,1,95000,1,95000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-09-02,2019-08-07,26,1,0,100000,1,100000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-09-02,2019-08-07,26,1,0,18000,1,18000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-09-02,2019-08-07,26,1,0,18000,1,18000.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-09-02,2019-08-07,26,1,1,19000,2,9500.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-09-02,2019-08-07,26,1,1,19500,2,9750.0,1,1,キスマイフットツー
ミュージカル ドン・ジュアン,2019-09-02,2019-08-07,26,1,1,27000,1,27000.0,1,1,キスマイフットツー
