name,date,collected_at,left_days,is_jannies,available,price_per_deal,unit,price_per_unit,after,after_and_js_jannies
三山ひろし特別公演新歌舞伎座開場60周年記念,2019-08-16,2019-08-10,6,0,1,10000,1,10000.0,1,0
JA東京みらい 中村美律子・増井山太志郎・松居直美コンサート お土産引換券付き 令和元年9月6日金 送料無料,2019-09-06,2019-08-10,27,0,1,500,1,500.0,1,0
送料無料雪・月・花(市川由紀乃 丘みどり 杜このみ)~新演歌三姉妹コンサート~ 9月30日(月) ペア招待券 (夜の部),2019-09-30,2019-08-10,51,0,1,2980,1,2980.0,1,0
送料無料雪・月・花(市川由紀乃 丘みどり 杜このみ)~新演歌三姉妹コンサート~ 9月30日(月) ペア招待券 (昼の部),2019-09-30,2019-08-10,51,0,1,3980,1,3980.0,1,0
新BS日本のうた 2019年8月22日(木) 秋田市文化会館 公開収録 入場整理券 1枚2名まで / パク・ジュニョン 八代亜紀 細川たかし 市川由紀乃,2019-08-22,2019-08-10,12,0,1,16000,1,16000.0,1,0
送料込中澤卓也さんの名古屋国際ホテル(8月18日(日曜))でのディナーショーチケット1名分定価20000円+振込料,2019-08-18,2019-08-10,8,0,1,15000,1,15000.0,1,0
9月4日(水)【中村美律子・増井山太志郎・松居直美コンサート】午後の部【お土産つき】,2019-09-04,2019-08-10,25,0,1,2300,1,2300.0,1,0
雪、月、花新演歌三姉妹市川由紀乃、丘みどり、杜このみ函館市芸術ホール2枚連番,2019-08-10,2019-08-10,0,0,1,13500,2,6750.0,1,0
