name,collected_at,left_days,price_per_unit,is_jannies,after,after_and_is_jannies
HAMLET ハムレット,2019-06-09,114,35055.555555555555,1,0,0
HAMLET ハムレット,2019-06-09,115,49750.0,1,0,0
HAMLET ハムレット,2019-06-09,117,25875.0,1,0,0
HAMLET ハムレット,2019-06-09,118,33312.5,1,0,0
HAMLET ハムレット,2019-06-10,90,73138.88888888889,1,0,0
HAMLET ハムレット,2019-06-10,91,42800.0,1,0,0
HAMLET ハムレット,2019-06-10,92,45166.666666666664,1,0,0
HAMLET ハムレット,2019-06-10,93,55000.0,1,0,0
HAMLET ハムレット,2019-06-10,95,62000.0,1,0,0
HAMLET ハムレット,2019-06-10,96,42333.333333333336,1,0,0
HAMLET ハムレット,2019-06-10,98,33200.0,1,0,0
HAMLET ハムレット,2019-06-10,99,42500.0,1,0,0
HAMLET ハムレット,2019-06-10,100,37500.0,1,0,0
HAMLET ハムレット,2019-06-10,102,45000.0,1,0,0
HAMLET ハムレット,2019-06-10,103,32612.4375,1,0,0
HAMLET ハムレット,2019-06-10,106,36000.0,1,0,0
HAMLET ハムレット,2019-06-10,107,47666.666666666664,1,0,0
HAMLET ハムレット,2019-06-10,110,29083.333333333332,1,0,0
HAMLET ハムレット,2019-06-10,111,35000.0,1,0,0
HAMLET ハムレット,2019-06-10,112,21250.0,1,0,0
HAMLET ハムレット,2019-06-10,113,37000.0,1,0,0
HAMLET ハムレット,2019-06-10,114,59500.0,1,0,0
HAMLET ハムレット,2019-06-10,116,26200.0,1,0,0
HAMLET ハムレット,2019-06-10,117,28166.666666666668,1,0,0
HAMLET ハムレット,2019-06-10,118,71857.14285714286,1,0,0
HAMLET ハムレット,2019-06-10,121,50285.71428571428,1,0,0
HAMLET ハムレット,2019-06-10,123,16500.0,1,0,0
HAMLET ハムレット,2019-06-11,89,73906.25,1,0,0
HAMLET ハムレット,2019-06-11,90,49400.0,1,0,0
HAMLET ハムレット,2019-06-11,91,41428.57142857143,1,0,0
HAMLET ハムレット,2019-06-11,92,55000.0,1,0,0
