name,date,collected_at,left_days,is_jannies,available,price_per_deal,unit,price_per_unit,after,after_and_js_jannies
☆盛岡☆氷川きよしコンサートツアー2019~20周年大感謝祭!!~7月20日(土)18:00~ペアチケット,2019-07-20,2019-06-15,35,0,1,15000,1,15000.0,1,0
[NO2] 6月23日 17:00開演 フェスティバルホール 石川さゆりコンサート2019 1枚,2019-06-23,2019-06-15,8,0,1,7500,1,7500.0,1,0
7/5 「共済推進大会&神野美伽コンサート」優待券 @京都,2019-07-05,2019-06-15,20,0,1,2000,1,2000.0,1,0
★★五木ひろし芸能生活55周年記念コンサート大阪公演6/21★★,2019-06-21,2019-06-15,6,0,1,4600,1,4600.0,1,0
川野夏美コンサート浅草公会堂9月8日(日)チケットS席一枚,2019-09-08,2019-06-15,85,0,1,3500,1,3500.0,1,0
森昌子★還暦コンサート★6月26日(水)14:00~★P列×3枚連番★ソフィア堺,2019-06-26,2019-06-15,11,0,1,10000,3,3333.3333333333335,1,0
三山ひろし コンサートチケット 仙台,2019-06-18,2019-06-15,3,0,1,12000,1,12000.0,1,0
♪舟木一夫 コンサート 2019フェスティバルホール7月22日月14時~または夜18時~♪新品,2019-07-22,2019-06-15,37,0,1,300,1,300.0,1,0
"山内恵介全国横断コンサートツアーjapan季節に抱かれて歌巡り、2019,8,8(木曜日)オリンパスホール八王子14時開演S席3階2列目15番16番",2019-06-15,2019-06-15,0,0,1,20000,1,20000.0,1,0
♪♪福田こうへい♪♪コンサート2019~一所懸命~ロームシアター京都6/6,2019-06-06,2019-06-15,-9,0,1,500,1,500.0,1,0
山内恵介さんの山形公演のチケットです。,2019-06-16,2019-06-15,1,0,1,5400,1,5400.0,1,0
【非売品】福田こうへい6/6石川さゆり6/24コンサート予約券ロームシアター京都,2019-06-06,2019-06-15,-9,0,1,300,1,300.0,1,0
♪五木ひろし コンサート 2019梅田芸術劇場メインホール6月21日金14時~または夜18時~♪新品,2019-06-21,2019-06-15,6,0,1,300,1,300.0,1,0
中澤卓也コンサート故郷から全国へ・追加公演・感謝を込めて特別バージョン宣伝用チラシ50枚セット,2019-06-20,2019-06-15,5,0,1,3000,50,60.0,1,0
五木ひろしコンサート大阪予約券3000円から,2019-06-18,2019-06-15,3,0,1,600,1,600.0,1,0
