name,date,collected_at,left_days,is_jannies,available,price_per_deal,unit,price_per_unit,after,after_and_js_jannies,artistname,age
音楽劇 トムとジェリー 夢よもう一度,2019-08-10,2019-08-10,0,1,0,6000,1,6000.0,1,1,ジャニーズJr,22.3
音楽劇 トムとジェリー 夢よもう一度,2019-08-10,2019-08-10,0,1,0,6000,1,6000.0,1,1,ジャニーズJr,22.3
音楽劇 トムとジェリー 夢よもう一度,2019-08-10,2019-08-10,0,1,0,8000,1,8000.0,1,1,ジャニーズJr,22.3
音楽劇 トムとジェリー 夢よもう一度,2019-08-10,2019-08-10,0,1,0,9000,1,9000.0,1,1,ジャニーズJr,22.3
音楽劇 トムとジェリー 夢よもう一度,2019-08-10,2019-08-10,0,1,1,10000,1,10000.0,1,1,ジャニーズJr,22.3
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!,2019-08-10,2019-08-10,0,1,0,12500,1,12500.0,1,1,ジャニーズJr,22.3
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!,2019-08-10,2019-08-10,0,1,0,14000,1,14000.0,1,1,ジャニーズJr,22.3
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!,2019-08-10,2019-08-10,0,1,0,15000,1,15000.0,1,1,ジャニーズJr,22.3
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!,2019-08-10,2019-08-10,0,1,0,15000,1,15000.0,1,1,ジャニーズJr,22.3
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!,2019-08-10,2019-08-10,0,1,0,15000,1,15000.0,1,1,ジャニーズJr,22.3
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!,2019-08-10,2019-08-10,0,1,0,16000,1,16000.0,1,1,ジャニーズJr,22.3
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!,2019-08-10,2019-08-10,0,1,0,16000,1,16000.0,1,1,ジャニーズJr,22.3
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!,2019-08-10,2019-08-10,0,1,0,16000,1,16000.0,1,1,ジャニーズJr,22.3
音楽劇 トムとジェリー 夢よもう一度,2019-08-10,2019-08-10,0,1,0,16500,1,16500.0,1,1,ジャニーズJr,22.3
